12        Threads
50        Connections per thread
50        Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.5 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        35295.99          ---          ---         1.58175         1.55900         2.20700         3.03900         5.21500      2408.76 
Gets       352901.85        36.00    352865.86         1.54119         1.52700         1.87100         2.91100         4.67100      8923.94 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     388197.85        36.00    352865.86         1.54488         1.52700         1.89500         2.91100         4.73500     11332.70 


Request Latency Distribution
Type     <= msec         Percent
GET       1.799       98.516
GET       1.799       98.594
GET       1.807       98.672
GET       1.815       98.750
GET       1.831       98.828
GET       1.847       98.906
GET       1.863       98.984
GET       1.895       99.062
GET       1.943       99.141
GET       2.079       99.219
GET       2.175       99.258
GET       2.287       99.297
GET       2.447       99.336
GET       2.639       99.375
GET       2.799       99.414
GET       2.847       99.453
GET       2.895       99.492
GET       2.943       99.531
GET       2.975       99.570
GET       3.023       99.609
GET       3.039       99.629
GET       3.071       99.648
GET       3.103       99.668
GET       3.135       99.688
GET       3.167       99.707
GET       3.199       99.727
GET       3.231       99.746
GET       3.263       99.766
GET       3.327       99.785
GET       3.423       99.805
GET       3.503       99.814
GET       3.615       99.824
GET       3.743       99.834
GET       3.887       99.844
GET       4.031       99.854
GET       4.159       99.863
GET       4.287       99.873
GET       4.415       99.883
GET       4.575       99.893
GET       4.703       99.902
GET       4.767       99.907
GET       4.863       99.912
GET       4.927       99.917
GET       5.023       99.922
GET       5.087       99.927
GET       5.151       99.932
GET       5.247       99.937
GET       5.311       99.941
GET       5.407       99.946
GET       5.471       99.951
GET       5.535       99.954
GET       5.567       99.956
GET       5.631       99.958
GET       5.663       99.961
GET       5.727       99.963
GET       5.759       99.966
GET       5.823       99.968
GET       5.887       99.971
GET       5.919       99.973
GET       5.983       99.976
GET       6.015       99.977
GET       6.047       99.978
GET       6.079       99.979
GET       6.143       99.980
GET       6.143       99.982
GET       6.175       99.983
GET       6.207       99.984
GET       6.239       99.985
GET       6.271       99.987
GET       6.303       99.988
GET       6.335       99.988
GET       6.367       99.989
GET       6.367       99.990
GET       6.399       99.990
GET       6.399       99.991
GET       6.431       99.991
GET       6.431       99.992
GET       6.463       99.993
GET       6.463       99.993
GET       6.495       99.994
GET       6.495       99.994
GET       6.527       99.995
GET       6.527       99.995
GET       6.527       99.995
GET       6.559       99.995
GET       6.559       99.996
GET       6.591       99.996
GET       6.623       99.996
GET       6.623       99.997
GET       6.655       99.997
GET       6.687       99.997
GET       6.687       99.997
GET       6.719       99.997
GET       6.751       99.998
GET       6.783       99.998
GET       6.815       99.998
GET       6.879       99.998
GET       6.911       99.998
GET       7.007       99.998
GET       7.071       99.998
GET       7.103       99.999
GET       7.135       99.999
GET       7.231       99.999
GET       7.295       99.999
GET       7.391       99.999
GET       7.391       99.999
GET       7.455       99.999
GET       7.519       99.999
GET       7.583       99.999
GET       7.583       99.999
GET       7.647       99.999
GET       7.679       99.999
GET       7.743       99.999
GET       7.743       99.999
GET       7.743       99.999
GET       7.807       99.999
GET       7.839      100.000
GET       7.839      100.000
GET       7.839      100.000
GET       7.839      100.000
GET       7.871      100.000
GET       7.871      100.000
GET       7.871      100.000
GET       7.871      100.000
GET       7.903      100.000
GET       7.903      100.000
GET       7.903      100.000
GET       7.935      100.000
GET       7.967      100.000
GET       8.191      100.000
GET       8.191      100.000
GET       8.255      100.000
GET       8.319      100.000
GET       8.447      100.000
GET       8.575      100.000
GET       8.703      100.000
GET       8.831      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       8.959      100.000
GET       9.087      100.000
GET       9.151      100.000
GET       9.279      100.000
GET       9.279      100.000
GET       9.279      100.000
GET       9.727      100.000
GET       9.727      100.000
GET       9.855      100.000
GET       9.855      100.000
GET       9.855      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET       9.983      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.047      100.000
GET      10.367      100.000
GET      10.367      100.000
---
WAIT      0.000      100.000
